Error parsing query: 
join tree:
beers -> locations

Q_locations =: q_locations
set Q_locations
 to
+------+------+----------+----------+--------------------+
| u4   | v    | y        | z        | w                  |
+------+------+----------+----------+--------------------+
| 1    | 1    | 30.2234  | -97.7697 | ROOFTOP            |
| 2    | 2    | 37.7825  | -122.393 | ROOFTOP            |
| 3    | 3    | 50.7668  | 4.3081   | RANGE_INTERPOLATED |
| 4    | 4    | 59.7451  | 10.2135  | APPROXIMATE        |
| 5    | 5    | 50.2606  | 4.9122   | APPROXIMATE        |
| 6    | 6    | 50.3093  | 4.7646   | GEOMETRIC_CENTER   |
| 7    | 7    | 50.1999  | 5.2277   | RANGE_INTERPOLATED |
| 8    | 8    | 41.2225  | -77.0369 | RANGE_INTERPOLATED |
| 9    | 9    | 41.4392  | -87.1078 | RANGE_INTERPOLATED |
| 10   | 10   | 30.5049  | -89.944  | APPROXIMATE        |
| 11   | 11   | 52.3277  | 1.6802   | APPROXIMATE        |
| 12   | 12   | 50.9699  | 4.1892   | APPROXIMATE        |
| 13   | 13   | 49.7652  | -97.1539 | APPROXIMATE        |
| 14   | 14   | 41.2603  | -96.0903 | RANGE_INTERPOLATED |
| 15   | 15   | 47.8781  | 10.6161  | ROOFTOP            |
| 16   | 16   | 45.5484  | -122.619 | ROOFTOP            |
| 17   | 17   | 58.3573  | -134.49  | ROOFTOP            |
| 18   | 20   | 43.1257  | -89.3253 | RANGE_INTERPOLATED |
| 19   | 21   | 32.892   | -117.144 | ROOFTOP            |
| 20   | 22   | 21.3069  | -157.858 | APPROXIMATE        |
| 21   | 23   | 43.7028  | -70.3166 | RANGE_INTERPOLATED |
| 22   | 24   | 43.7028  | -70.3166 | RANGE_INTERPOLATED |
| 23   | 25   | 40.6016  | -75.474  | RANGE_INTERPOLATED |
| 24   | 26   | 47.7487  | 10.5694  | ROOFTOP            |
| 25   | 26   | 47.7237  | 10.3141  | ROOFTOP            |
| 26   | 28   | 38.0501  | -84.5088 | RANGE_INTERPOLATED |
| 27   | 29   | 32.8355  | -116.765 | RANGE_INTERPOLATED |
| 28   | 30   | 48.3457  | 8.4031   | ROOFTOP            |
| 29   | 31   | 50.919   | 3.2632   | RANGE_INTERPOLATED |
